Date,Average kW (Total)
2023-08-23,4.691458333333333
2023-08-24,4.669583333333333
2023-08-25,4.814210526315789
2023-08-26,5.294065934065934
2023-08-27,5.119052631578947
2023-08-28,4.893225806451613
2023-08-29,4.458777777777778
2023-08-30,5.074090909090909
2023-08-31,4.377582417582418
2023-09-01,5.008260869565217
2023-09-02,4.943369565217392
2023-09-03,4.487966101694916
2023-09-04,5.13546511627907
2023-09-05,4.753333333333334
2023-09-06,4.720444444444444
2023-09-07,4.8554545454545455
2023-09-08,4.973406593406593
2023-09-09,4.74621052631579
2023-09-10,4.591777777777778
2023-09-11,4.919787234042553
2023-09-12,4.884318181818181
2023-09-13,5.075578947368421
2023-09-14,4.646413043478261
2023-09-15,4.86936170212766
2023-09-16,4.381521739130434
2023-09-17,4.6419565217391305
2023-09-18,4.238631578947369
2023-09-19,4.665051546391752
2023-09-20,4.876
2023-09-21,5.014947368421053
2023-09-22,4.730315789473684
2023-09-23,4.586702127659574
2023-09-24,4.982577319587629
2023-09-25,4.932234042553191
2023-09-26,4.53968085106383
2023-09-27,4.953894736842106
2023-09-28,4.897234042553191
2023-09-29,5.019340659340659
2023-09-30,4.804842105263158
2023-10-01,5.047340425531915
2023-10-02,4.646373626373626
2023-10-03,4.8177528089887645
2023-10-04,5.047789473684211
2023-10-05,4.952446808510639
2023-10-06,4.760851063829787
2023-10-07,4.915294117647059
2023-10-08,5.210347826086957
2023-10-09,5.09340206185567
2023-10-10,4.771827956989247
2023-10-11,4.821827956989248
2023-10-12,4.931190476190476
2023-10-13,5.424716981132075
2023-10-14,4.940104166666667
2023-10-15,5.481489361702128
2023-10-16,5.496105263157895
2023-10-17,4.99095744680851
2023-10-18,5.173440860215054
2023-10-19,5.247978723404255
2023-10-20,4.694945054945055
2023-10-21,4.975376344086022
2023-10-22,4.9624719101123596
2023-10-23,3.9626373626373628
2023-10-24,4.494105263157895
2023-10-25,4.567717391304348
2023-10-26,4.450106382978723
2023-10-27,4.073695652173913
2023-10-28,4.169255319148936
2023-10-29,4.433068181818182
2023-10-30,4.691368421052632
2023-10-31,4.204086021505376
2023-11-01,4.316421052631579
2023-11-02,4.214285714285714
2023-11-03,4.371808510638298
2023-11-04,4.3890625000000005
2023-11-05,4.403118279569893
2023-11-06,4.262526315789474
2023-11-07,4.568842105263158
2023-11-08,4.428842105263158
2023-11-09,4.50247311827957
2023-11-10,4.238404255319149
2023-11-11,4.621914893617021
2023-11-12,4.374315789473684
2023-11-13,4.395161290322581
2023-11-14,3.8155319148936173
2023-11-15,3.947263157894737
2023-11-16,3.8821428571428576
2023-11-17,4.29
2023-11-18,4.772173913043479
2023-11-19,3.846
2023-11-20,4.893934426229508
2023-11-21,4.283285714285714
2023-11-22,4.221230769230769
2023-11-23,4.450677966101694
2023-11-24,4.436060606060606
2023-11-25,4.851558441558441
2023-11-26,5.099340659340659
2023-11-27,4.7619354838709675
2023-11-28,4.933440860215054
2023-11-29,4.681720430107527
2023-11-30,5.029021739130435
2023-12-01,4.359583333333333
2023-12-02,4.700219780219781
2023-12-03,4.811684210526316
2023-12-04,4.817204301075269
2023-12-05,4.654842105263158
2023-12-06,5.052391304347826
2023-12-07,4.848369565217391
2023-12-08,4.606702127659574
2023-12-09,4.5333695652173915
2023-12-10,4.737032967032967
2023-12-11,4.434516129032258
2023-12-12,4.5430769230769235
2023-12-13,4.717659574468085
2023-12-14,4.616170212765957
2023-12-15,4.790217391304347
2023-12-16,4.049350649350649
2023-12-17,4.615287356321839
2023-12-18,4.399111111111111
2023-12-19,4.812553191489362
2023-12-20,4.776489361702128
2023-12-21,4.532842105263158
2023-12-22,4.4632978723404255
2023-12-23,4.221777777777778
2023-12-24,4.210215053763441
2023-12-25,4.381914893617021
2023-12-26,4.653777777777777
2023-12-27,4.787613636363637
2023-12-28,4.445054945054945
2023-12-29,4.511318681318681
2023-12-30,4.178804347826087
2023-12-31,4.3176041666666665
2024-01-01,4.155425531914894
2024-01-02,4.255543478260869
2024-01-03,4.581195652173913
2024-01-04,4.880212765957447
2024-01-05,4.533225806451613
2024-01-06,4.6109374999999995
2024-01-07,4.435684210526316
2024-01-08,4.755161290322581
2024-01-09,4.561428571428571
2024-01-10,4.779111111111111
2024-01-11,5.016559139784946
2024-01-12,5.033695652173913
2024-01-13,5.240222222222222
2024-01-14,4.748172043010753
2024-01-15,4.857228915662651
2024-01-16,4.514634146341463
2024-01-17,5.216666666666667
2024-01-18,4.547802197802198
2024-01-19,4.603763440860215
2024-01-20,4.992421052631578
2024-01-21,4.495
2024-01-22,4.490566037735849
2024-01-23,4.4719354838709675
2024-01-24,4.470989010989011
2024-01-25,3.993548387096774
2024-01-26,4.389042553191489
2024-01-27,4.704315789473685
2024-01-28,4.568404255319149
2024-01-29,4.5424444444444445
2024-01-30,4.695744680851064
2024-01-31,4.791489361702127
2024-02-01,4.453404255319149
2024-02-02,4.209120879120879
2024-02-03,4.4961290322580645
2024-02-04,4.972978723404255
2024-02-05,4.781063829787234
2024-02-06,4.897096774193549
2024-02-07,5.048105263157895
2024-02-08,5.011827956989247
2024-02-09,4.921649484536082
2024-02-10,5.128297872340426
2024-02-11,4.731630434782609
2024-02-12,4.520537634408602
2024-02-13,4.826413043478261
2024-02-14,4.841505376344086
2024-02-15,4.948947368421052
2024-02-16,5.188172043010753
2024-02-17,5.267912087912088
2024-02-18,5.055578947368421
2024-02-19,4.883369565217391
2024-02-20,4.788749999999999
2024-02-21,4.8815625
2024-02-22,5.337765957446808
2024-02-23,4.819677419354839
2024-02-24,4.719893617021277
2024-02-25,4.5959375
2024-02-26,4.58328125
2024-02-27,5.168461538461538
2024-02-28,5.002446808510639
2024-02-29,5.176304347826087
2024-03-01,5.307752808988764
2024-03-02,5.367777777777778
2024-03-03,5.266136363636364
2024-03-04,4.734027777777778
2024-03-05,4.8881159420289855
2024-03-06,4.836086956521739
2024-03-07,4.686027397260274
2024-03-08,5.147777777777778
2024-03-09,4.80972972972973
2024-03-10,4.820777777777778
2024-03-11,4.363854166666667
2024-03-12,4.943707865168539
2024-03-13,4.865263157894737
2024-03-14,5.042688172043011
2024-03-15,5.051489361702127
2024-03-16,5.212127659574468
2024-03-17,4.897956989247311
2024-03-18,4.692021276595745
2024-03-19,4.69627659574468
2024-03-20,4.665425531914893
2024-03-21,4.803958333333333
2024-03-22,5.159578947368422
2024-03-23,5.417826086956522
2024-03-24,5.002134831460674
2024-03-25,5.093555555555556
2024-03-26,5.181573033707865
2024-03-27,5.0773913043478265
2024-03-28,5.349032258064516
2024-03-29,5.477340425531915
2024-03-30,5.721473684210526
2024-03-31,5.497096774193548
2024-04-01,5.109893617021276
2024-04-02,5.679784946236559
2024-04-03,5.613414634146341
2024-04-04,5.729166666666667
2024-04-05,5.755760869565217
2024-04-06,5.512391304347826
2024-04-07,5.657628865979381
2024-04-08,5.615052631578947
2024-04-09,5.956526315789474
2024-04-10,5.43763440860215
2024-04-11,5.58945652173913
2024-04-12,5.489438202247191
2024-04-13,5.330425531914893
2024-04-14,5.619032258064516
2024-04-15,5.2324175824175825
2024-04-16,5.737176470588235
2024-04-17,5.747912087912088
2024-04-18,6.219318181818181
2024-04-19,5.926210526315789
2024-04-20,6.261397849462365
2024-04-21,5.839368421052631
2024-04-22,6.068913043478261
2024-04-23,5.342688172043011
2024-04-24,5.469166666666666
2024-04-25,5.52258064516129
2024-04-26,6.107093023255814
2024-04-27,6.557717391304347
2024-04-28,5.80236559139785
2024-04-29,5.821222222222222
2024-04-30,5.800821917808219
2024-05-01,5.868617021276595
2024-05-02,5.797291666666666
2024-05-03,5.8548913043478255
2024-05-04,5.466290322580646
2024-05-05,5.96890625
2024-05-06,5.843452380952381
2024-05-07,6.4194545454545455
2024-05-08,6.056933333333333
2024-05-09,6.148166666666667
2024-05-10,5.881333333333334
2024-05-11,6.029545454545455
2024-05-12,5.620869565217391
2024-05-13,5.432688172043011
2024-05-14,5.363626373626373
2024-05-15,5.613191489361702
2024-05-16,6.074555555555556
2024-05-17,6.1527659574468085
2024-05-18,6.0872631578947365
2024-05-19,5.795
2024-05-20,5.927536231884058
2024-05-21,5.757111111111111
2024-05-22,5.557619047619047
2024-05-23,6.076382978723403
2024-05-24,5.858804347826087
2024-05-25,5.986025641025641
2024-05-26,6.102872340425532
2024-05-27,5.717391304347826
2024-05-28,6.011123595505618
2024-05-29,5.894565217391304
2024-05-30,5.851868131868132
2024-05-31,5.936373626373626
2024-06-01,6.140425531914894
2024-06-02,6.003763440860215
2024-06-03,6.16945652173913
2024-06-04,6.304555555555555
2024-06-05,6.046451612903226
2024-06-06,6.304673913043478
2024-06-07,5.892872340425531
2024-06-08,6.194886363636363
2024-06-09,5.943150684931507
2024-06-10,5.594285714285714
2024-06-11,5.652580645161291
2024-06-12,5.7686111111111105
2024-06-13,5.517441860465116
2024-06-14,5.98890243902439
2024-06-15,6.031458333333333
2024-06-16,5.672795698924732
2024-06-17,5.423684210526316
2024-06-18,5.756276595744681
2024-06-19,5.623368421052632
2024-06-20,5.881123595505618
2024-06-21,5.609148936170213
2024-06-22,5.63505376344086
2024-06-23,5.794301075268817
2024-06-24,5.582127659574469
2024-06-25,5.664888888888888
2024-06-26,5.7234375
2024-06-27,5.646516853932584
2024-06-28,5.404782608695652
2024-06-29,5.464239130434782
2024-06-30,5.181063829787234
2024-07-01,5.748490566037736
2024-07-02,5.888918918918918
2024-07-03,5.541720430107527
2024-07-04,5.601063829787234
2024-07-05,5.514838709677419
2024-07-06,5.616455696202531
2024-07-07,5.658404255319149
2024-07-08,5.6307446808510635
2024-07-09,5.806451612903226
2024-07-10,5.959230769230769
2024-07-11,5.672258064516129
2024-07-12,5.542105263157895
2024-07-13,5.1318947368421055
2024-07-14,5.831630434782609
2024-07-15,5.741382978723405
2024-07-16,5.643260869565217
2024-07-17,5.746521739130435
2024-07-18,5.551578947368421
2024-07-19,5.612934782608695
2024-07-20,5.225263157894736
2024-07-21,5.607157894736842
2024-07-22,5.579677419354838
2024-07-23,5.466813186813187
2024-07-24,5.997263157894737
2024-07-25,5.537446808510638
2024-07-26,5.103225806451613
2024-07-27,5.211702127659574
2024-07-28,5.058510638297872
2024-07-29,5.24858695652174
2024-07-30,5.028043478260869
2024-07-31,5.576923076923077
2024-08-01,5.574111111111112
2024-08-02,5.282444444444445
2024-08-03,5.0732608695652175
2024-08-04,5.1182105263157895
2024-08-05,4.995531914893617
2024-08-06,5.061702127659575
2024-08-07,4.93821052631579
2024-08-08,4.9554838709677425
2024-08-09,5.002105263157895
2024-08-10,5.052758620689655
2024-08-11,5.191157894736842
2024-08-12,4.927765957446808
2024-08-13,5.016304347826087
2024-08-14,5.556914893617021
2024-08-15,5.141
2024-08-16,4.858105263157895
2024-08-17,5.120967741935484
2024-08-18,5.143829787234043
2024-08-19,4.76445652173913
2024-08-20,4.919263157894736
2024-08-21,5.4925
2024-08-22,5.273723404255319
2024-08-23,5.456290322580646
